8.55 82.5818 0.587091 0.00401258 8.26085e+09
8.61 73.8759 0.581745 0.00392329 7.84268e+09
8.67 72.6329 0.5764 0.00383652 7.4511e+09
8.73 71.9496 0.571055 0.00375218 7.06467e+09
8.79 70.6755 0.565709 0.00367019 6.68348e+09
8.85 67.8077 0.560364 0.00359047 6.31335e+09
8.91 63.0746 0.555018 0.00351295 5.96354e+09
8.97 59.2876 0.549673 0.00343755 5.63649e+09
9.03 64.0009 0.544692 0.0033642 5.33034e+09
9.09 62.4237 0.540077 0.00329284 5.03859e+09
9.15 61.4532 0.535462 0.0032234 4.75272e+09
9.21 60.9808 0.530846 0.00315581 4.47018e+09
9.27 59.9506 0.526231 0.00309002 4.19111e+09
9.33 57.9854 0.521615 0.00302597 3.91895e+09
9.39 58.1463 0.517121 0.00296361 3.65799e+09
9.45 59.0859 0.512869 0.00290288 3.4088e+09
9.51 56.7528 0.508738 0.00284372 3.16953e+09
9.57 63.4391 0.504607 0.0027861 2.92126e+09
9.63 70.3171 0.500475 0.00272996 2.64498e+09
9.69 77.6764 0.496344 0.00267525 2.33929e+09
9.75 81.8921 0.492213 0.00262194 2.00969e+09
9.81 72.6081 0.488082 0.00256997 1.69056e+09
9.87 60.8681 0.483951 0.00251931 1.41485e+09
9.93 50.3473 0.47982 0.00246992 1.18513e+09
9.99 43.0815 0.475795 0.00242176 9.96749e+08
10.05 45.6894 0.472092 0.00237479 8.32643e+08
10.11 43.7323 0.468602 0.00232898 6.76611e+08
10.17 42.3258 0.465112 0.00228429 5.26448e+08
10.23 40.7386 0.461622 0.00224069 3.81509e+08
10.29 40.0246 0.458133 0.00219815 2.40586e+08
10.35 39.0592 0.454643 0.00215663 1.02592e+08
10.41 38.5543 0.451153 0.00211611 -3.28353e+07
10.47 37.4577 0.447663 0.00207655 -1.65469e+08
10.53 35.8086 0.444173 0.00203794 -2.93311e+08
10.59 33.8788 0.440684 0.00200023 -4.14908e+08
10.65 32.4496 0.437194 0.00196342 -5.30644e+08
10.71 30.942 0.433704 0.00192746 -6.41256e+08
10.77 30.1272 0.430214 0.00189234 -7.47816e+08
10.83 29.0267 0.426724 0.00185803 -8.51033e+08
10.89 28.4322 0.423235 0.00182452 -9.51293e+08
10.95 25.3476 0.419745 0.00179177 -1.04513e+09
11.01 23.1696 0.41656 0.00175977 -1.12273e+09
11.07 15.6149 0.41368 0.00172849 -1.17858e+09
11.13 8.65092 0.4108 0.00169793 -1.21352e+09
11.19 4.71514 0.40792 0.00166805 -1.23277e+09
11.25 4.19622 0.40504 0.00163883 -1.2456e+09
11.31 3.75172 0.40216 0.00161027 -1.25704e+09
11.37 3.33707 0.39928 0.00158234 -1.26725e+09
11.43 2.9932 0.3964 0.00155503 -1.27637e+09
11.49 2.72031 0.39352 0.00152831 -1.28459e+09
11.55 2.46287 0.39064 0.00150218 -1.29206e+09
11.61 2.2135 0.38776 0.00147662 -1.29879e+09
11.67 1.92549 0.38488 0.0014516 -1.30475e+09
11.73 1.61251 0.382 0.00142713 -1.30985e+09
11.79 1.31597 0.37912 0.00140319 -1.31406e+09
11.85 1.03509 0.37624 0.00137975 -1.31745e+09
11.91 0.76914 0.37336 0.00135681 -1.32005e+09
